ID_Client,âge,genre,type de voyage,destination,saison de voyage,durée de voyage (en jours),nombre de personnes,prix total,mode de paiement,évaluation sur 5,date de début de voyage,date de fin de voyage,période de voyage,budget_voyage_annuel,durée moyenne de voyage annuelle (en jours)
1,32,M,culturel,Bali,été,10,2,4425,Virement,3,07-12-2023,09-12-2023,07-12-2023 au 09-12-2023,6407,4.0
2,38,Autre,détente,Népal,printemps,11,1,5743,Carte de crédit,2,01-09-2023,03-09-2023,01-09-2023 au 03-09-2023,4226,20.0
3,39,Autre,détente,Norvège,hiver,15,2,9565,Virement,3,22-02-2024,23-02-2024,22-02-2024 au 23-02-2024,5144,5.0
4,49,Autre,aventure,Japon,printemps,16,2,9833,Virement,2,31-08-2023,03-09-2023,31-08-2023 au 03-09-2023,4307,19.0
5,23,M,aventure,Islande,été,8,4,2358,Paypal,3,29-08-2023,01-09-2023,29-08-2023 au 01-09-2023,4348,10.0
6,32,Autre,aventure,Costa Rica,automne,10,1,4442,Paypal,2,08-03-2024,09-03-2024,08-03-2024 au 09-03-2024,4536,12.0
7,33,Autre,culturel,Népal,hiver,5,4,105,Virement,3,19-05-2023,22-05-2023,19-05-2023 au 22-05-2023,5333,4.0
8,25,M,culturel,Costa Rica,automne,9,1,3173,Paypal,3,24-01-2024,27-01-2024,24-01-2024 au 27-01-2024,4282,11.0
9,53,Autre,culturel,Japon,hiver,6,1,902,Paypal,1,21-03-2023,25-03-2023,21-03-2023 au 25-03-2023,6884,9.0
10,34,M,culturel,Japon,hiver,10,3,4459,Paypal,1,13-06-2023,16-06-2023,13-06-2023 au 16-06-2023,3658,6.0
11,38,F,culturel,Népal,été,8,1,2360,Virement,3,16-05-2023,21-05-2023,16-05-2023 au 21-05-2023,4720,20.0
12,18,Autre,culturel,Islande,été,6,4,904,Paypal,1,14-03-2024,16-03-2024,14-03-2024 au 16-03-2024,4340,15.0
13,36,F,détente,Bali,été,13,2,8065,Paypal,2,20-04-2023,22-04-2023,20-04-2023 au 22-04-2023,7170,13.0
14,21,M,culturel,Népal,hiver,12,1,6925,Carte de crédit,4,25-09-2023,27-09-2023,25-09-2023 au 27-09-2023,5295,6.0
15,20,Autre,aventure,France,automne,8,3,2377,Virement,4,20-01-2024,21-01-2024,20-01-2024 au 21-01-2024,6548,6.0
16,22,M,culturel,Norvège,hiver,5,4,128,Virement,4,15-11-2023,16-11-2023,15-11-2023 au 16-11-2023,2772,12.0
